yatirim  	harcanan	calisan	kazanc
86538.16	12615.66	14	89069.09
88613.33	5243.3	        18	140286.62
60139.14	14985.45	14	97857.51
58629.0	        13210.08	20	139097.68
60212.92	11716.96	15	141035.25
80351.64	11604.93	6	106725.42
78778.85	11332.04	19	149844.87
66704.64	14510.06	8	93229.85
70234.03	5507.99	        11	76699.44
93145.83	7221.9	        17	108231.68
85412.94	13791.44	18	85046.16
83932.92	13834.37	16	79770.49
88255.46	7411.15	        13	72276.76
72890.26	9693.77	        10	100956.89
98305.86	6244.29	        11	138448.71
61570.91	10568.1	        9	145316.95
62425.27	14770.9	        17	99727.93
57936.14	13376.35	5	131946.64
57604.04	12697.65	19	74786.74
85987.72	7457.19	        8	129309.81
88519.89	5845.73	        10	90022.71
98986.16	12717.08	14	131095.83
80052.53	14104.47	11	107364.9
61362.0	        11355.78	8	88738.78
99287.15	12597.75	7	97179.42
62410.48	11877.2	        5	108747.3
81458.18	10997.77	16	135340.14
87065.2	        9373.72	        20	129750.54
52960.69	7591.63	        15	144118.26
90680.19	7279.08	        16	109484.58
76821.78	8867.7	        11	116872.99
72707.65	12541.54	8	113767.27
55711.25	12216.89	5	137018.11
62434.67	8235.42	        7	118006.44
73209.11	13283.31	6	120940.26
95330.17	13968.28	15	129468.41
92774.36	8493.47	        13	70060.75
91725.21	10311.07	19	83378.56
58659.92	8681.85	        11	109784.72
78756.13	11162.75	16	108421.69
95334.59	5467.73	        16	116109.96
56481.79	10036.41	10	109813.95
95554.28	12904.55	6	68692.47
81008.23	8691.33	        17	138556.69
82077.56	12734.41	12	113981.42
95503.81	13222.04	10	68236.02
75470.59	5191.94	        11	138439.92
51707.3	         5177.24	10	137619.21
90686.86	11947.89	8	99490.26
52780.25	8139.54	        20	131080.58
67232.31	12754.36	20	91028.09
58833.2	        9296.78	        10	72959.15
79276.11	13246.13	14	100357.11
64896.2	        10756.94	8	71709.31
57208.72	9129.12	        9	119327.61
54847.31	5946.65	        7	121834.53
80771.74	5353.2	        5	82910.42
96960.84	13544.26	6	63582.31
97944.78	7040.01	        17	83924.79
94433.04	10808.89	10	113775.39
75171.78	7132.58	        8	82632.14
62887.12	9736.3	        13	132654.11
71211.83	5069.81	        13	65273.19
68303.69	6470.11	        10	106346.35
82658.41	10860.41	11	119852.88
66623.15	12961.47	10	137201.97
50443.77	10709.02	19	145126.86
84305.7	        7502.83	        5	70680.09
91713.36	5437.87	        10	106145.3
63278.69	12137.41	6	83142.91
81154.69	8637.59	        19	65352.96
82080.95	11382.02	8	149273.04
60227.8	        5877.84	        11	75174.02
51947.07	11794.94	12	77515.02
57738.53	10982.77	15	91103.61
86941.42	8250.96	        12	118901.31
82128.91	7103.24	        14	140848.93
88955.69	14124.47	17	86753.36
90143.57	12284.04	18	106581.42
63138.41	5247.64	        9	143165.19
53682.81	5634.07	        16	123172.27
52339.59	14748.31	14	145177.35
69917.08	7744.98	        6	131402.18
91851.94	10550.02	18	149457.67
95728.88	13323.35	16	133406.09
86061.39	11271.93	5	134751.71
64608.92	13308.51	10	144100.15
94817.75	13434.82	15	93732.51
68872.68	8023.89	        10	108486.96
61608.9	        8698.28	        14	100785.78
59946.28	10930.52	18	144575.32
84862.42	14943.66	10	85554.57
92786.53	10549.37	13	78940.61
97986.44	7299.01	        10	121113.64
77414.61	5166.78	        13	122169.0
92266.28	10476.95	6	67009.13
64222.48	7635.05	        7	92346.25
50779.09	10773.51	19	111512.12
86958.04	12589.06	13	101903.3
72379.56	12406.33	9	66900.9
